Frequency (Hz),ASD (cyc/sqrt(Hz))
7.830021645860936463e-02,1.225079622732904483e-06
7.920021894663935302e-02,1.365839743688240502e-06
8.010022143466934141e-02,1.080968179375676883e-06
8.100022392269932980e-02,1.459710560145342336e-06
8.190022641072933207e-02,1.539136398623442838e-06
8.280022889875932046e-02,1.304253169851477968e-06
8.370023138678930885e-02,1.436268398251204397e-06
8.460023387481931112e-02,1.304871383923296033e-06
8.550023636284929951e-02,1.290877683816399195e-06
8.640023885087928790e-02,1.083413524949762383e-06
8.730024133890929017e-02,1.158947821692459568e-06
8.820024382693927856e-02,1.171383898432960417e-06
8.910024631496926695e-02,1.236882298541931805e-06
9.000024880299925534e-02,1.311295953979223748e-06
9.090025129102925761e-02,1.158461451489314874e-06
9.180025377905924600e-02,1.110011848601834225e-06
9.270025626708923439e-02,1.184977432444095314e-06
9.360025875511923665e-02,1.503480777203932843e-06
9.450026124314922504e-02,1.430271222997596966e-06
9.540026373117921343e-02,1.149502445255636706e-06
9.630026621920921570e-02,1.317210232053747121e-06
9.720026870723920409e-02,1.121103319863320566e-06
9.810027119526919248e-02,1.053826247779650840e-06
9.900027368329919475e-02,1.050844072804697982e-06
9.990027617132918314e-02,1.115590163168627486e-06
1.008002786593591715e-01,1.098597475103319811e-06
1.017002811473891599e-01,1.259231492671995329e-06
1.026002836354191622e-01,1.175847834755022208e-06
1.035002861234491506e-01,1.117752119812207370e-06
1.044002886114791390e-01,1.237301044344548621e-06
1.053002910995091412e-01,1.220452789018969679e-06
1.062002935875391296e-01,8.825691368538140650e-07
1.071002960755691180e-01,1.132535913997486856e-06
1.080002985635991203e-01,9.856288646666935189e-07
1.089003010516291087e-01,1.081144715489311673e-06
1.098003035396590971e-01,1.128800892295943097e-06
1.107003060276890855e-01,1.102911842923527466e-06
1.116003085157190877e-01,1.192733273265519340e-06
1.125003110037490761e-01,1.091277850007610324e-06
1.134003134917790645e-01,1.161661209134743069e-06
1.143003159798090668e-01,1.141806256966564598e-06
1.152003184678390552e-01,1.158572549622896448e-06
1.161003209558690435e-01,1.022286881332696641e-06
1.170003234438990458e-01,8.059842054364252311e-07
1.179003259319290342e-01,1.036941249569558292e-06
1.188003284199590226e-01,9.203661778477666144e-07
1.197003309079890249e-01,9.191909139061519201e-07
1.206003333960190133e-01,1.096273068417742165e-06
1.215003358840490016e-01,1.063879522000624192e-06
1.224003383720789900e-01,1.064811224441201896e-06
1.233003408601089923e-01,8.503826098957659918e-07
1.242003433481389807e-01,8.258202777064163374e-07
1.251003458361689691e-01,1.033765442876859473e-06
1.260003483241989575e-01,1.145559295895647694e-06
1.269003508122289459e-01,1.155941962469717657e-06
1.278003533002589620e-01,1.083608823799338235e-06
1.287003557882889504e-01,1.052994073737460883e-06
1.296003582763189388e-01,1.143950710884627556e-06
1.305003607643489272e-01,1.119840446349359828e-06
1.314003632523789156e-01,1.102228343720986201e-06
1.323003657404089040e-01,1.000373476929052749e-06
1.332003682284389201e-01,9.779895427478536121e-07
1.341003707164689085e-01,9.386166419598414450e-07
1.350003732044988969e-01,1.040779783271599090e-06
1.359003756925288853e-01,1.160944216782783869e-06
1.368003781805588737e-01,1.017491894420637438e-06
1.377003806685888621e-01,1.023943023088763074e-06
1.386003831566188504e-01,9.612383056986564280e-07
1.395003856446488666e-01,1.036889637645464698e-06
1.404003881326788550e-01,9.699140343839444739e-07
1.413003906207088434e-01,8.814431641206111650e-07
1.422003931087388318e-01,8.887030238557043589e-07
1.431003955967688202e-01,8.763288753810649904e-07
1.440003980847988085e-01,9.154813979463510820e-07
1.449004005728288247e-01,9.708167952709327274e-07
1.458004030608588131e-01,9.312843794751118591e-07
1.467004055488888015e-01,8.303738694511116384e-07
1.476004080369187899e-01,6.847866363485965212e-07
1.485004105249487782e-01,8.477467036446225219e-07
1.494004130129787666e-01,1.141068212629988443e-06
1.503004155010087550e-01,1.061153896509711123e-06
1.512004179890387712e-01,9.621158640183480245e-07
1.521004204770687596e-01,1.080441379577291207e-06
1.530004229650987480e-01,9.569926788659734726e-07
1.539004254531287363e-01,9.332309714074586625e-07
1.548004279411587247e-01,1.114239942558529189e-06
1.557004304291887131e-01,1.060054190409032288e-06
1.566004329172187293e-01,9.195504387175172150e-07
1.575004354052487177e-01,8.029538196943470627e-07
1.584004378932787060e-01,8.384850045095777954e-07
1.593004403813086944e-01,6.971815997002624962e-07
1.602004428693386828e-01,7.708037737017054085e-07
1.611004453573686712e-01,1.061403293239442975e-06
1.620004478453986596e-01,1.245511701696647717e-06
1.629004503334286758e-01,9.493665072868973833e-07
1.638004528214586641e-01,7.733734841181708716e-07
1.647004553094886525e-01,9.450768704900064601e-07
1.656004577975186409e-01,9.526970189079239059e-07
1.665004602855486293e-01,9.136322140805783438e-07
1.674004627735786177e-01,9.369685902974634382e-07
1.683004652616086061e-01,9.106004881334676015e-07
1.692004677496386222e-01,8.102624696669884846e-07
1.701004702376686106e-01,9.187053859149066903e-07
1.710004727256985990e-01,9.396008801499552046e-07
1.719004752137285874e-01,8.865988807090900039e-07
1.728004777017585758e-01,7.560100555743565168e-07
1.737004801897885642e-01,8.299107159056316371e-07
1.746004826778185803e-01,8.730150546955659034e-07
1.755004851658485687e-01,8.172344440986506386e-07
1.764004876538785571e-01,7.599897283209650670e-07
1.773004901419085455e-01,1.042899659835397185e-06
1.782004926299385339e-01,1.085913947335842990e-06
1.791004951179685223e-01,9.589803892301961952e-07
1.800004976059985107e-01,8.832205793625259452e-07
1.809005000940285268e-01,9.661648428620789048e-07
1.818005025820585152e-01,9.605793320189849216e-07
1.827005050700885036e-01,9.484913340857643227e-07
1.836005075581184920e-01,7.905083711647498896e-07
1.845005100461484804e-01,8.740536457164764855e-07
1.854005125341784688e-01,1.017948997575991080e-06
1.863005150222084849e-01,9.631226152796124787e-07
1.872005175102384733e-01,8.867322768348437172e-07
1.881005199982684617e-01,8.370950707838185690e-07
1.890005224862984501e-01,9.024457197480861248e-07
1.899005249743284385e-01,9.836249447775599968e-07
1.908005274623584269e-01,8.702369769849090840e-07
1.917005299503884153e-01,7.994227550671569897e-07
1.926005324384184314e-01,9.424919306635541006e-07
1.935005349264484198e-01,8.269773546010340334e-07
1.944005374144784082e-01,7.892444056110478044e-07
1.953005399025083966e-01,9.191594790682604753e-07
1.962005423905383850e-01,9.166671955395386573e-07
1.971005448785683734e-01,8.501957620125537781e-07
1.980005473665983895e-01,6.601493626956513847e-07
1.989005498546283779e-01,7.238336595643786637e-07
1.998005523426583663e-01,7.617699402725990967e-07
2.007005548306883547e-01,6.404095611753908748e-07
2.016005573187183431e-01,7.582873275512256304e-07
2.025005598067483314e-01,8.609624341203214435e-07
2.034005622947783198e-01,8.659916585086799917e-07
2.043005647828083360e-01,9.609827967366311470e-07
2.052005672708383244e-01,8.654114741260824605e-07
2.061005697588683128e-01,8.256558562455669734e-07
2.070005722468983012e-01,7.285578618597721409e-07
2.079005747349282895e-01,7.292287663899358486e-07
2.088005772229582779e-01,6.985990221308244717e-07
2.097005797109882663e-01,7.290257062330508435e-07
2.106005821990182825e-01,7.329586620640643679e-07
2.115005846870482709e-01,9.211295017012753390e-07
2.124005871750782592e-01,7.694888201503356407e-07
2.133005896631082476e-01,7.298894139945730846e-07
2.142005921511382360e-01,8.634522046191598230e-07
2.151005946391682244e-01,8.696004397215717066e-07
2.160005971271982406e-01,8.808077204422544819e-07
2.169005996152282290e-01,7.717529424549277807e-07
2.178006021032582173e-01,8.120888104763121290e-07
2.187006045912882057e-01,8.162349150393732006e-07
2.196006070793181941e-01,7.425381290305448746e-07
2.205006095673481825e-01,7.056813205661372084e-07
2.214006120553781709e-01,8.163239905508919265e-07
2.223006145434081871e-01,7.802946395922820717e-07
2.232006170314381754e-01,6.278114640895162666e-07
2.241006195194681638e-01,6.236019520614755725e-07
2.250006220074981522e-01,6.582153585295162113e-07
2.259006244955281406e-01,6.484477917080737449e-07
2.268006269835581290e-01,5.900033195916885506e-07
2.277006294715881451e-01,7.479831763506398085e-07
2.286006319596181335e-01,7.992155270357498786e-07
2.295006344476481219e-01,6.763601723534820340e-07
2.304006369356781103e-01,7.213077064280370702e-07
2.313006394237080987e-01,6.361840538341650424e-07
2.322006419117380871e-01,6.849332285394588094e-07
2.331006443997680755e-01,6.524229444150892373e-07
2.340006468877980916e-01,7.313411686993232502e-07
2.349006493758280800e-01,8.410856439172394785e-07
2.358006518638580684e-01,7.843077058975741852e-07
2.367006543518880568e-01,7.782461581175713066e-07
2.376006568399180452e-01,7.713602180063551193e-07
2.385006593279480336e-01,6.803737570099917795e-07
2.394006618159780497e-01,5.704645063626552253e-07
2.403006643040080381e-01,5.957164296512577522e-07
2.412006667920380265e-01,7.348841483323609440e-07
2.421006692800680149e-01,6.573566802566362975e-07
2.430006717680980033e-01,5.942673713405138947e-07
2.439006742561279917e-01,7.465053968059455566e-07
2.448006767441579801e-01,6.893926616055427677e-07
2.457006792321879962e-01,6.109108128160468838e-07
2.466006817202179846e-01,8.326505590385430672e-07
2.475006842082479730e-01,9.326746204098155338e-07
2.484006866962779614e-01,8.104065222821848427e-07
2.493006891843079498e-01,6.868813261848550538e-07
2.502006916723379382e-01,6.375083222525057594e-07
2.511006941603679543e-01,5.360743021690289155e-07
2.520006966483979149e-01,6.273921269395144838e-07
2.529006991364279311e-01,6.196278860303831825e-07
2.538007016244578917e-01,6.008422507512824187e-07
2.547007041124879079e-01,6.255698571217421596e-07
2.556007066005179240e-01,6.884582004423389691e-07
2.565007090885478847e-01,7.829031543226676279e-07
2.574007115765779008e-01,8.874567853494649538e-07
2.583007140646078614e-01,6.872902646608200729e-07
2.592007165526378776e-01,5.863082637863049327e-07
2.601007190406678937e-01,6.294197143514510185e-07
2.610007215286978544e-01,5.914765431840506307e-07
2.619007240167278705e-01,6.543848007448067200e-07
2.628007265047578311e-01,6.554803249809884562e-07
2.637007289927878473e-01,6.430790599866848440e-07
2.646007314808178079e-01,6.652056602705746084e-07
2.655007339688478241e-01,5.678000618791796460e-07
2.664007364568778402e-01,5.303499898094262668e-07
2.673007389449078008e-01,7.397337647168979445e-07
2.682007414329378170e-01,7.498291440342997026e-07
2.691007439209677776e-01,5.907528325755450393e-07
2.700007464089977938e-01,6.437236024490851556e-07
2.709007488970277544e-01,6.206713493820188290e-07
2.718007513850577705e-01,6.015953346651219300e-07
2.727007538730877867e-01,6.100312374097137585e-07
2.736007563611177473e-01,6.613536226649618778e-07
2.745007588491477635e-01,6.010279834227399742e-07
2.754007613371777241e-01,6.203850490181925723e-07
2.763007638252077403e-01,6.881944405069990709e-07
2.772007663132377009e-01,6.336223944492152224e-07
2.781007688012677170e-01,6.393132882049397154e-07
2.790007712892977332e-01,6.331989115579331899e-07
2.799007737773276938e-01,7.979050480383282532e-07
2.808007762653577100e-01,6.323574225516446045e-07
2.817007787533876706e-01,5.905026732505966648e-07
2.826007812414176867e-01,5.266464118769829454e-07
2.835007837294476474e-01,4.913976923502686230e-07
2.844007862174776635e-01,6.086743976984366592e-07
2.853007887055076797e-01,5.955364111549292100e-07
2.862007911935376403e-01,6.689595194680269746e-07
2.871007936815676564e-01,6.487806114919197935e-07
2.880007961695976171e-01,6.877112503925343808e-07
2.889007986576276332e-01,7.138257137050492018e-07
2.898008011456576494e-01,7.037065754929528031e-07
2.907008036336876100e-01,6.463090080614644394e-07
2.916008061217176262e-01,6.417755270243550498e-07
2.925008086097475868e-01,5.996091075171419340e-07
2.934008110977776029e-01,5.772735948581703662e-07
2.943008135858075636e-01,6.807216934728013211e-07
2.952008160738375797e-01,6.333349820569524710e-07
2.961008185618675959e-01,6.170045634700773599e-07
2.970008210498975565e-01,5.382587327921505160e-07
2.979008235379275726e-01,6.256641296046769172e-07
2.988008260259575333e-01,7.369783777278730019e-07
2.997008285139875494e-01,6.166521772068756365e-07
3.006008310020175101e-01,6.005476084243326092e-07
3.015008334900475262e-01,5.970032731228030220e-07
3.024008359780775423e-01,4.765348109901128238e-07
3.033008384661075030e-01,5.380464585861248226e-07
3.042008409541375191e-01,5.950282531787855908e-07
3.051008434421674798e-01,5.809690250135975296e-07
3.060008459301974959e-01,5.845728225389165260e-07
3.069008484182274565e-01,5.960331389797881285e-07
3.078008509062574727e-01,4.846111041264355799e-07
3.087008533942874888e-01,5.564392910038611937e-07
3.096008558823174495e-01,6.923374399157399108e-07
3.105008583703474656e-01,5.644270236069889250e-07
3.114008608583774262e-01,5.771163539085518660e-07
3.123008633464074424e-01,5.932704625204149248e-07
3.132008658344374585e-01,6.329557235078625532e-07
3.141008683224674192e-01,6.193543027317719716e-07
3.150008708104974353e-01,6.574662106440805576e-07
3.159008732985273959e-01,6.728219973738098309e-07
3.168008757865574121e-01,5.607656922485847425e-07
3.177008782745873727e-01,5.176374125144868631e-07
3.186008807626173889e-01,5.551303107816887309e-07
3.195008832506474050e-01,6.360717172353822360e-07
3.204008857386773657e-01,6.663924285736994849e-07
3.213008882267073818e-01,7.493294846441092456e-07
3.222008907147373424e-01,6.798231040295107260e-07
3.231008932027673586e-01,7.686800470913934621e-07
3.240008956907973192e-01,6.490528399581708500e-07
3.249008981788273354e-01,6.887285639609956474e-07
3.258009006668573515e-01,7.945862552389178097e-07
3.267009031548873121e-01,7.413804098678446395e-07
3.276009056429173283e-01,7.378860005072844263e-07
3.285009081309472889e-01,7.269249818486404734e-07
3.294009106189773051e-01,6.670816594265003568e-07
3.303009131070072657e-01,6.665270675221603705e-07
3.312009155950372818e-01,6.205074704313089880e-07
3.321009180830672980e-01,5.830064285726944243e-07
3.330009205710972586e-01,6.241482694507494907e-07
3.339009230591272748e-01,6.020744716297491537e-07
3.348009255471572354e-01,7.005030009316783089e-07
3.357009280351872516e-01,6.519136931000792405e-07
3.366009305232172122e-01,5.179477658371071982e-07
3.375009330112472283e-01,5.257447274974242700e-07
3.384009354992772445e-01,6.361813946215255631e-07
3.393009379873072051e-01,6.562133632369606907e-07
3.402009404753372213e-01,5.942750858327114300e-07
3.411009429633671819e-01,6.911458803806568465e-07
3.420009454513971980e-01,7.125470449661575785e-07
3.429009479394272142e-01,7.243009601104114682e-07
3.438009504274571748e-01,6.209018258791593293e-07
3.447009529154871910e-01,7.196590297709157062e-07
3.456009554035171516e-01,7.628423242395942077e-07
3.465009578915471677e-01,6.505903213299430540e-07
3.474009603795771284e-01,6.120101616872015763e-07
3.483009628676071445e-01,6.522577434061763433e-07
3.492009653556371607e-01,6.795214540881720200e-07
3.501009678436671213e-01,6.031455553895803834e-07
3.510009703316971374e-01,6.483872313066722609e-07
3.519009728197270981e-01,6.405161111672991138e-07
3.528009753077571142e-01,6.877172349905456783e-07
3.537009777957870749e-01,6.859428873462479084e-07
3.546009802838170910e-01,7.155371977317038099e-07
3.555009827718471072e-01,6.229535506348872621e-07
3.564009852598770678e-01,5.179128267207771718e-07
3.573009877479070839e-01,4.825062407228945678e-07
3.582009902359370446e-01,5.279204108690521875e-07
3.591009927239670607e-01,5.650540226174459100e-07
3.600009952119970214e-01,6.188856870845855340e-07
3.609009977000270375e-01,6.406407540523561455e-07
3.618010001880570536e-01,6.485649010837896333e-07
3.627010026760870143e-01,5.867630107404687987e-07
3.636010051641170304e-01,5.811230138489067720e-07
3.645010076521469911e-01,6.533139437485296076e-07
3.654010101401770072e-01,6.148000553918542899e-07
3.663010126282070233e-01,6.421060561076117348e-07
3.672010151162369840e-01,6.264281109136142415e-07
3.681010176042670001e-01,5.906027401769472948e-07
3.690010200922969608e-01,6.304188074734838636e-07
3.699010225803269769e-01,6.606705557725786462e-07
3.708010250683569375e-01,5.483124584185226722e-07
3.717010275563869537e-01,4.976867967156429727e-07
3.726010300444169698e-01,5.978355099185788288e-07
3.735010325324469305e-01,5.133705135396784713e-07
3.744010350204769466e-01,5.935556278662237441e-07
3.753010375085069072e-01,6.937370748906303061e-07
3.762010399965369234e-01,6.526318550349869544e-07
3.771010424845668840e-01,5.643846315935919999e-07
3.780010449725969002e-01,6.959995839309585149e-07
3.789010474606269163e-01,7.939720968846233578e-07
3.798010499486568770e-01,6.917711147621255417e-07
3.807010524366868931e-01,6.146765207042964324e-07
3.816010549247168537e-01,6.734063921160813995e-07
3.825010574127468699e-01,6.076250254566569035e-07
3.834010599007768305e-01,6.115869813844679302e-07
3.843010623888068467e-01,6.429437945149669785e-07
3.852010648768368628e-01,6.044680182912669125e-07
3.861010673648668234e-01,6.155640959742446627e-07
3.870010698528968396e-01,6.187941076476860921e-07
3.879010723409268002e-01,6.450682111879463017e-07
3.888010748289568164e-01,7.108511344319248904e-07
3.897010773169867770e-01,6.845213055608183573e-07
3.906010798050167931e-01,5.643799758475396225e-07
3.915010822930468093e-01,4.446089011943842073e-07
3.924010847810767699e-01,6.689672556903413639e-07
3.933010872691067861e-01,6.328386006627506043e-07
3.942010897571367467e-01,5.921271728953505727e-07
3.951010922451667629e-01,5.512875592741363847e-07
3.960010947331967790e-01,6.206389905603907707e-07
3.969010972212267396e-01,6.499560546614660916e-07
3.978010997092567558e-01,6.568440251320846634e-07
3.987011021972867164e-01,5.917874803787450629e-07
3.996011046853167326e-01,5.136794270693264346e-07
4.005011071733466932e-01,5.958893544764432315e-07
4.014011096613767093e-01,6.395112247423987888e-07
4.023011121494067255e-01,6.170770331162910604e-07
4.032011146374366861e-01,6.360937780034876782e-07
4.041011171254667023e-01,6.046196074071075139e-07
4.050011196134966629e-01,6.195308926558811122e-07
4.059011221015266790e-01,6.531838207998489933e-07
4.068011245895566397e-01,6.155422489958560208e-07
4.077011270775866558e-01,5.776397041730555159e-07
4.086011295656166720e-01,5.346253019235634506e-07
4.095011320536466326e-01,5.717878616425107904e-07
4.104011345416766487e-01,6.406017863931019284e-07
4.113011370297066094e-01,5.466321347453871710e-07
4.122011395177366255e-01,5.403984088140407927e-07
4.131011420057665862e-01,6.327446730353795577e-07
4.140011444937966023e-01,5.395542566696887764e-07
4.149011469818266185e-01,5.319719441575676390e-07
4.158011494698565791e-01,6.131458508172709510e-07
4.167011519578865952e-01,5.113187724517389705e-07
4.176011544459165559e-01,5.422808448316810577e-07
4.185011569339465720e-01,5.899499658829886926e-07
4.194011594219765326e-01,4.797396235843008917e-07
4.203011619100065488e-01,4.982637308086361967e-07
4.212011643980365649e-01,6.067106175715556240e-07
4.221011668860665256e-01,5.792448043777386840e-07
4.230011693740965417e-01,5.127075989061958810e-07
4.239011718621265024e-01,6.479292624511952095e-07
4.248011743501565185e-01,7.085355223329588833e-07
4.257011768381865346e-01,5.739169182816819550e-07
4.266011793262164953e-01,5.973186611184051652e-07
4.275011818142465114e-01,4.365805193882255729e-07
4.284011843022764721e-01,5.618285103136574026e-07
4.293011867903064882e-01,6.198934422159466223e-07
4.302011892783364488e-01,5.825014044957737233e-07
4.311011917663664650e-01,4.122640052746020297e-07
4.320011942543964811e-01,3.994903253315806295e-07
4.329011967424264418e-01,5.704116394128258062e-07
4.338011992304564579e-01,6.389599027525850288e-07
4.347012017184864185e-01,5.428020113531533466e-07
4.356012042065164347e-01,6.619649039583502595e-07
4.365012066945463953e-01,7.134240407055011360e-07
4.374012091825764115e-01,6.013635173961898994e-07
4.383012116706064276e-01,5.744309650863438346e-07
4.392012141586363883e-01,5.637371719635411106e-07
4.401012166466664044e-01,5.353820891187637878e-07
4.410012191346963650e-01,5.218327894852440663e-07
4.419012216227263812e-01,5.407629818339314058e-07
4.428012241107563418e-01,5.517969033884650260e-07
4.437012265987863580e-01,5.837204123323529123e-07
4.446012290868163741e-01,6.420930789053160629e-07
4.455012315748463347e-01,4.397284344793868376e-07
4.464012340628763509e-01,4.097109522886920091e-07
4.473012365509063115e-01,4.792305998673767062e-07
4.482012390389363277e-01,6.514741245411822415e-07
4.491012415269663438e-01,5.900611785396573591e-07
4.500012440149963044e-01,5.328388260979194721e-07
4.509012465030263206e-01,4.896448023004996928e-07
4.518012489910562812e-01,4.921247611024558888e-07
4.527012514790862974e-01,4.920102799635057241e-07
4.536012539671162580e-01,4.712251348816542500e-07
4.545012564551462741e-01,4.749608012837221625e-07
4.554012589431762903e-01,5.393716815761731469e-07
4.563012614312062509e-01,5.331221306445803693e-07
4.572012639192362671e-01,4.075231511925069059e-07
4.581012664072662277e-01,4.657977907567647311e-07
4.590012688952962439e-01,5.303335192206717414e-07
4.599012713833262045e-01,5.344987541351248979e-07
4.608012738713562206e-01,4.377522357782971964e-07
4.617012763593862368e-01,4.044586039901783635e-07
4.626012788474161974e-01,6.128664579477584726e-07
4.635012813354462136e-01,5.368323365627705698e-07
4.644012838234761742e-01,4.842321891457170254e-07
4.653012863115061903e-01,4.464473644378138051e-07
4.662012887995361510e-01,5.038254108220377511e-07
4.671012912875661671e-01,5.022901930684186018e-07
4.680012937755961833e-01,4.950405561232045120e-07
4.689012962636261439e-01,5.267995554126953690e-07
4.698012987516561600e-01,4.844116063361440030e-07
4.707013012396861207e-01,4.976127825421332739e-07
4.716013037277161368e-01,6.081049547784530537e-07
4.725013062157460975e-01,5.316181116544503404e-07
4.734013087037761136e-01,4.681934123791141079e-07
4.743013111918061298e-01,4.911828353655618925e-07
4.752013136798360904e-01,4.422573814528212393e-07
4.761013161678661065e-01,4.242325653903241324e-07
4.770013186558960672e-01,4.878128937128396194e-07
4.779013211439260833e-01,5.989618081156439841e-07
4.788013236319560995e-01,5.463820384842160531e-07
4.797013261199860601e-01,4.149518358225515040e-07
4.806013286080160762e-01,5.223729550895395458e-07
4.815013310960460369e-01,5.307852647836319780e-07
4.824013335840760530e-01,5.666279155104775804e-07
4.833013360721060137e-01,5.384295475267159329e-07
4.842013385601360298e-01,4.879419021904558656e-07
4.851013410481660459e-01,4.951994700055928762e-07
4.860013435361960066e-01,5.448989122603297922e-07
4.869013460242260227e-01,5.082150929356760746e-07
4.878013485122559834e-01,4.258813322233509021e-07
4.887013510002859995e-01,4.595274845676405240e-07
4.896013534883159601e-01,5.097182029490117206e-07
4.905013559763459763e-01,3.950866435318281893e-07
4.914013584643759924e-01,4.754179702071615474e-07
4.923013609524059531e-01,5.339486887632134177e-07
4.932013634404359692e-01,3.965278677896653739e-07
4.941013659284659298e-01,3.554972483830780056e-07
4.950013684164959460e-01,4.877355132572790324e-07
4.959013709045259066e-01,6.040695970530030893e-07
4.968013733925559228e-01,5.215640129003966729e-07
4.977013758805859389e-01,4.529382773134821570e-07
4.986013783686158996e-01,5.202303475891774653e-07
4.995013808566459157e-01,5.264520336740616415e-07
5.004013833446758763e-01,4.328580060170949174e-07
5.013013858327058925e-01,5.073155229663525474e-07
5.022013883207359086e-01,4.092219227722331533e-07
5.031013908087659248e-01,5.087482351971614795e-07
5.040013932967958299e-01,4.830240414720481142e-07
5.049013957848258460e-01,3.357000699792985255e-07
5.058013982728558622e-01,5.051297421738720823e-07
5.067014007608858783e-01,5.136179569378966726e-07
5.076014032489157835e-01,4.597743869562495033e-07
5.085014057369457996e-01,4.659410888455859814e-07
5.094014082249758157e-01,5.341773739839473355e-07
5.103014107130058319e-01,5.562870853033764182e-07
5.112014132010358480e-01,4.847675674790597934e-07
5.121014156890657532e-01,5.315138015575000362e-07
5.130014181770957693e-01,5.974791698612853655e-07
5.139014206651257854e-01,4.530994768931271626e-07
5.148014231531558016e-01,4.591638342747491403e-07
5.157014256411858177e-01,4.851006782228596033e-07
5.166014281292157229e-01,5.007214109604231097e-07
5.175014306172457390e-01,4.603663693742256640e-07
5.184014331052757552e-01,5.446599466904192262e-07
5.193014355933057713e-01,4.525372732244067766e-07
5.202014380813357874e-01,4.363199607358347722e-07
5.211014405693656926e-01,4.976098755234010772e-07
5.220014430573957087e-01,4.944272184662745190e-07
